"","rut","tipo_dif_6","ventas_inicio","monto_op","tasa_anual","plazo","es_mujer","es_hombre","es_pj","para_cap_trab","para_inv","para_cap_trab_inv","comercio","alimento","agricultura","region","eval"
"274",5814,"2 entre -5% y 5%",-0.611413980832971,4.38495187882571,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"13",FALSE
"275",5825,"3 Mayor a 5%",-0.660348317097522,-0.365161162189643,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"279",5941,"3 Mayor a 5%",-0.614270326101093,-0.0152119567291795,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"281",5981,"2 entre -5% y 5%",0.585020887415319,0.609377250586691,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"8",FALSE
"282",6004,"2 entre -5% y 5%",-0.456392727178458,-0.591337413681525,0.137694153599676,-0.332635202303582,0,1,0,1,0,0,1,0,0,"13",FALSE
"283",6025,"2 entre -5% y 5%",2.8953643868406,-0.476748479310379,0.137694153599676,-1.18608230603183,1,0,0,1,0,0,1,0,0,"7",FALSE
"284",6031,"2 entre -5% y 5%",1.53603280818523,3.92545988812556,0.137694153599676,1.37425900515292,0,1,0,0,0,1,1,0,0,"13",FALSE
"285",6036,"2 entre -5% y 5%",0.307288160021618,2.97263940165288,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"8",FALSE
"286",6058,"2 entre -5% y 5%",-0.243541652468631,0.841208466721025,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"9",FALSE
"287",6071,"2 entre -5% y 5%",-0.437790136725741,1.17276695570776,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"290",6091,"2 entre -5% y 5%",-0.611413980832971,2.21244294361239,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"3",FALSE
"294",6122,"2 entre -5% y 5%",-0.378881933625469,1.58216104018213,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"2",FALSE
"295",6136,"2 entre -5% y 5%",1.7902025211,5.39496819453928,0.137694153599676,1.37425900515292,0,1,0,1,0,0,1,0,0,"13",FALSE
"298",6155,"2 entre -5% y 5%",-0.146349886417966,1.47848081656856,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"299",6161,"2 entre -5% y 5%",-0.0102480021100205,0.0926894306456544,0.137694153599676,-0.332635202303582,0,1,0,1,0,0,1,0,0,"13",FALSE
"300",6174,"2 entre -5% y 5%",-0.177354203839162,4.19344743104936,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"302",6189,"2 entre -5% y 5%",-0.301371140072479,4.38495187882571,0.137694153599676,1.37425900515292,0,1,0,1,0,0,1,0,0,"13",FALSE
"303",6210,"2 entre -5% y 5%",0.735668591625904,0.149905460435768,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"13",FALSE
"304",6222,"2 entre -5% y 5%",1.86892707799363,-0.353106354668655,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"305",6251,"2 entre -5% y 5%",-0.159615919589453,6.02977400380644,0.137694153599676,2.22770610888117,1,0,0,1,0,0,1,0,0,"5",FALSE
"308",6309,"2 entre -5% y 5%",0.881594289609327,0.0850422734964811,0.137694153599676,1.37425900515292,0,1,0,0,0,1,1,0,0,"7",FALSE
"311",6425,"2 entre -5% y 5%",-0.766435234487484,-0.353698880806577,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"5",FALSE
"316",6498,"2 entre -5% y 5%",-0.168217967089072,3.22135554077259,0.137694153599676,1.37425900515292,1,0,0,1,0,0,0,1,0,"8",FALSE
"318",6507,"2 entre -5% y 5%",0.318713874545572,4.67825231709704,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"8",FALSE
"319",6521,"2 entre -5% y 5%",0.07689853849094,4.3181719963642,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"321",6561,"2 entre -5% y 5%",0.628756381854597,2.1600043804063,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"5",FALSE
